NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
3G_TTH001E_LAN,10.81.5.208,2,Tân Thạnh,Trạm BTS Ấp 3 Thạnh Hưng,CSHT_LAN_00034
3G_TTH009E_LAN,10.81.4.202,22,Tân Thạnh,Trạm BTS Kiến Bình,CSHT_LAN_00164
3G_TTH703B_LAN,10.81.5.208,19,Tân Thạnh,Trạm Ấp 6 Nhơn Hoà Lập,CSHT_LAN_00621
3G_TTU029M_LAN,10.81.4.112,3,Thủ Thừa,TTU029M,CSHT_LAN_00946
3G_TTU031M_LAN,10.81.4.112,4,Thủ Thừa,TTU031M,CSHT_LAN_00944
UL_BLU102M_LAN,10.81.4.103,14,Bến Lức,BLU102M,CSHT_LAN_00692
UL_DHO155M_LAN,10.81.4.169,4,Đức Huệ,DHO155M,CSHT_LAN_00695
4G-CGI071M-LAN,10.81.4.143,16,Cần Giuộc,CGI071M,CSHT_LAN_00948
3G_CGI071M_LAN,10.81.4.143,5,Cần Giuộc,CGI071M,CSHT_LAN_00948
UL_THO708B_LAN,10.81.5.215,3,Thạnh Hóa,UL_THO708B_LAN,CSHT_LAN_00698
3G&4G-THU024S-LAN,10.81.4.235,4,Tân Hưng,3G&4G-THU024S-LAN,CSHT_LAN_00699
4G-CTH702B-LAN,10.81.4.222,4,Châu Thành,4G_CTH702B_LAN,CSHT_LAN_00694
3G_CTH702B_LAN,10.81.4.222,6,Châu Thành,4G_CTH702B_LAN,CSHT_LAN_00694
4G-THU003E-LAN,10.81.4.235,5,Tân Hưng,Trạm BTS Cái Sách,CSHT_LAN_00057
2G_TTU005M_LAN,E1,E1,Thủ Thừa,BTS Long Thuan-Tan Thanh,CSHT_LAN_00002
4G-DHU009M-LAN,10.81.4.244,8,Đức Huệ,Trạm Bình Thành,CSHT_LAN_00294
3G_DHU009M_LAN,10.81.4.244,23,Đức Huệ,Trạm Bình Thành,CSHT_LAN_00294
4G-BLU103S-LAN,10.81.4.91,16,Gò Đen,BLU103S,CSHT_LAN_00707
4G-DHO157S-LAN,10.81.4.62,10,Đức Hòa,DHO157S,CSHT_LAN_00708
UL_DHO157M_LAN ,10.81.4.53,6,,DHO157M,CSHT_LAN_00992
UL_DHO158M_LAN,10.81.4.64,8,,DHO158M,CSHT_LAN_01011
UL_DHO159M_LAN,10.81.4.62,12,,DHO159M,CSHT_LAN_00993
UL_THO039M_LAN,10.81.4.210,1,,THO039M,CSHT_LAN_00991
UL_THO035M_LAN,10.81.5.212,3,,THO035M,CSHT_LAN_01020
UL_THO036M_LAN,10.81.4.210,2,,THO036M,CSHT_LAN_00999
UL_DHU037M_LAN,10.81.4.160,7,,DHU037M,CSHT_LAN_01007
UL_DHU038M_LAN,10.81.4.165,6,,DHU038M,CSHT_LAN_01004
UL_DHO160M_LAN,10.81.4.53,6,Đức Hòa,DHO160M,CSHT_LAN_00992
UL_CDU025M_LAN,10.81.5.102,17,Rạch Kiến,CDU025M,CSHT_LAN_00994
UL_BLU030M_LAN,10.81.4.98,15,Bến Lức,BLU030M,CSHT_LAN_00996
UL_DHO061M_LAN,10.81.4.153,4,Hậu Nghĩa,DHO061M,CSHT_LAN_01002
UL_DHO064M_LAN,10.81.5.72,7,Đức Huệ,DHO064M,CSHT_LAN_01006
UL_DHU041M_LAN,10.81.4.160,7,Đức Huệ,DHU037M,CSHT_LAN_01007
UL_DHO065M_LAN,10.81.5.153,5,Đức Huệ,DHO065M,CSHT_LAN_01012
UL_TTR024M_LAN,10.81.4.247,3,Tân Trụ,TTR024M,CSHT_LAN_01014
UL_BLU104M_LAN,10.81.4.100,11,Bến Lức,BLU104M,CSHT_LAN_01015
3G_CDU038M_LAN,10.81.4.137,22,Cần Đước,CDU038M,CSHT_LAN_01016
4G-CDU038M-LAN,10.81.4.137,23,Cần Đước,CDU038M,CSHT_LAN_01016
UL_CDU061M_LAN,10.81.5.128,5,Rạch Kiến,CDU061M,CSHT_LAN_01018
UL_CDU028M_LAN,10.81.4.132,21,Rạch Kiến,CDU028M,CSHT_LAN_01024
4G-CDU046M-LAN,10.81.4.126,15,Cần Đước,CDU046M,CSHT_LAN_01010
3G_CDU046M_LAN,10.81.4.126,14,Cần Đước,CDU046M,CSHT_LAN_01010
UL_DHO062M_LAN,10.81.5.226,17,Hậu Nghĩa,DHO062M,CSHT_LAN_01003
UL_DHU039M_LAN,10.81.4.244,5,Đức Huệ,DHU039M,CSHT_LAN_00998
UL_DHU040M_LAN,10.81.4.166,9,Đức Huệ,DHU040M,CSHT_LAN_01008
UL_MHO002M_LAN,10.81.4.173,16,Mộc Hóa,MHO002M,CSHT_LAN_01023
UL_MHO003M_LAN,10.81.5.177,9,Mộc Hóa,MHO003M,CSHT_LAN_01022
3G_MHO004M_LAN,10.81.4.170,19,Mộc Hóa,MHO007M,CSHT_LAN_01005
4G-MHO004M-LAN,10.81.4.170,12,Mộc Hóa,MHO004M,CSHT_LAN_01005
UL_MHO007M_LAN,10.81.4.177,9,Mộc Hóa,MHO004M,CSHT_LAN_01021
3G_TAN042M_LAN,10.81.4.13,16,Tân An 2,TAN042M,CSHT_LAN_00995
4G-TAN042M-LAN,10.81.4.13,10,Tân An 2,TAN042M,CSHT_LAN_00995
3G_THO028M_LAN,10.81.5.216,7,Thạnh Hóa,THO028M,CSHT_LAN_00997
4G-THO028M-LAN,10.81.5.216,10,Thạnh Hóa,THO028M,CSHT_LAN_00997
UL_TTH032M_LAN,10.81.5.124,5,Tân Thạnh,TTH032M,CSHT_LAN_01017
3G_TTU045M_LAN,10.81.5.101,6,Thủ Thừa,TTU045M,CSHT_LAN_01025
4G-TTU045M-LAN,10.81.5.101,7,Thủ Thừa,TTU045M,CSHT_LAN_01025
UL_VHU020M_LAN,10.81.5.182,14,Vĩnh Hưng,VHU020M,CSHT_LAN_01009
UL_TTU054M_LAN,10.81.4.112,12,Thủ Thừa,TTU054M,CSHT_LAN_01013
4G-TAN706B-LAN,10.81.4.34,3,Tân An 1,TAN706B,CSHT_LAN_00709
UL_CTH030M_LAN,10.81.4.222,4,Châu Thành,UL_CTH030M_LAN,CSHT_LAN_01019
4G-DHO706B-LAN,10.81.5.14,2,Hậu Nghĩa,4G-DHO706B-LAN,CSHT_LAN_01026
3G-DHO706B-LAN,10.81.5.14,3,Hậu Nghĩa,4G-DHO706B-LAN,CSHT_LAN_01026
4G-DHU702B-LAN,10.81.4.76,2,Đức Huệ,4G-DHU702B-LAN,CSHT_LAN_01027
3G-DHU702B-LAN,10.81.4.76,3,Đức Huệ,4G-DHU702B-LAN,CSHT_LAN_01027
4G-THO709B-LAN,10.81.5.214,2,Thạnh Hóa,4G-THO709B-LAN,CSHT_LAN_01031
3G-THO709B-LAN,10.81.5.214,6,Thạnh Hóa,4G-THO709B-LAN,CSHT_LAN_01031
4G-THU705B-LAN,10.81.4.235,5,Tân Hưng,4G-THU705B-LAN,CSHT_LAN_01028
3G-THU705B-LAN,10.81.4.235,3,Tân Hưng,4G-THU705B-LAN,CSHT_LAN_01028
4G-THU703B-LAN,10.81.4.190,10,Tân Hưng,4G-THU703B-LAN,CSHT_LAN_01029
3G-THU703B-LAN,10.81.4.190,16,Tân Hưng,4G-THU703B-LAN,CSHT_LAN_01029
4G-THU704B-LAN,10.81.4.190,6,Tân Hưng,4G-THU704B-LAN,CSHT_LAN_01030
3G-THU704B-LAN,10.81.4.190,9,Tân Hưng,4G-THU704B-LAN,CSHT_LAN_01030
4G-CTH703B-LAN,10.81.4.220,3,Thạnh Hóa,4G-CTH703B-LAN,CSHT_LAN_01032
3G-CTH703B-LAN,10.81.4.220,4,Thạnh Hóa,4G-CTH703B-LAN,CSHT_LAN_01032
4G-TAN049S-LAN,10.81.5.243,5,Tân An,4G-TAN049S-LAN,CSHT_LAN_01033
