NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
UL_TTH030M_LAN,10.81.5.251,22,Tân Thạnh,"TTH030M (Số 37, Ấp Kênh Chà, xã Nhơn Hòa)",CSHT_LAN_00856
UL_TTH031M_LAN,10.81.5.207,8,Tân Thạnh,"TTH031 (Ấp Tân Chánh B, xã Nhơn Ninh)",CSHT_LAN_00651
UL_TTR700B_LAN,10.81.4.247,19,Tân Trụ,TTR010E,CSHT_LAN_00561
UL_TTR011M_LAN,10.81.4.230,22,Tân Trụ,"TTR011A (Ấp Bình Tây, Bình Trinh Đông)",CSHT_LAN_00313
2G_TTR011M_LAN,10.81.4.230,2,Tân Trụ,"TTR011A (Ấp Bình Tây, Bình Trinh Đông)",CSHT_LAN_00313
3G_TTR012M_LAN,10.81.4.234,3,Tân Trụ,"TTR012M (Ấp Thanh Phong, Bình Lãng)",CSHT_LAN_00354
4G-TTR012M-LAN,10.81.4.234,17,Tân Trụ,"TTR012M (Ấp Thanh Phong, Bình Lãng)",CSHT_LAN_00354
UL_TTR013M_LAN,10.81.4.236,8,Tân Trụ,TTR013M (Ấp 5 Tân Phước Tây),CSHT_LAN_00348
3G_TTR014M_LAN,10.81.4.231,11,Tân Trụ,"TTR014M (Ấp Bình Hòa, Bình Tịnh)",CSHT_LAN_00387
4G-TTR014M-LAN,10.81.4.231,8,Tân Trụ,"TTR014M (Ấp Bình Hòa, Bình Tịnh)",CSHT_LAN_00387
UL_TTR016M_LAN,10.81.4.236,9,Tân Trụ,"TTR016M (Ấp 3, xã Tân Phước Tây)",CSHT_LAN_00832
UL_TTR017M_LAN,10.81.5.230,5,Tân Trụ,TTR017M,CSHT_LAN_00833
UL_TTR018M_LAN,10.81.5.234,3,Tân Trụ,"TTR018M (Ấp Nhựt Tân, xã Nhựt Ninh)",CSHT_LAN_00829
UL_TTR019M_LAN,10.81.5.234,2,Tân Trụ,"TTR019M (Ấp Bình Hòa, xã Đức Tân)",CSHT_LAN_00828
UL_TTR020M_LAN,10.81.4.234,2,Tân Trụ,"TTR020M (Ấp Bình Tây, xã Tân Bình)",CSHT_LAN_00830
UL_TTR021M_LAN,10.81.4.240,13,Tân Trụ,TTR021M,CSHT_LAN_00831
3G_TTR022M_LAN,10.81.4.236,19,Tân Trụ,TTR022M,CSHT_LAN_00939
4G-TTR022M-LAN,10.81.4.236,20,Tân Trụ,TTR022M,CSHT_LAN_00939
4G-TTR023S-LAN,10.81.4.231,5,Tân Trụ,TTR023S,CSHT_LAN_00869
UL_TTU701B_LAN,10.81.4.115,5,Thủ Thừa,TTU003E,CSHT_LAN_00990
UL_TTU022M_LAN,10.81.5.250,2,Thủ Thừa,TTU022A (Ấp 3 Mỹ Thạnh),CSHT_LAN_00315
2G_TTU022M_LAN,E1,E1,Thủ Thừa,TTU022A (Ấp 3 Mỹ Thạnh),CSHT_LAN_00315
UL_TTU023M_LAN,10.81.4.115,19,Thủ Thừa,TTU023A (Ấp 4 Mỹ Thạnh),CSHT_LAN_00316
2G_TTU023M_LAN,E1,E1,Thủ Thừa,TTU023A (Ấp 4 Mỹ Thạnh),CSHT_LAN_00316
3G_TTU024M_LAN,10.81.5.87,5,Thủ Thừa,TTU024M (Ấp 1 Long Thạnh),CSHT_LAN_00347
4G-TTU024M-LAN,10.81.5.87,22,Thủ Thừa,TTU024M (Ấp 1 Long Thạnh),CSHT_LAN_00347
2G_TTU024M_LAN,E1,E1,Thủ Thừa,TTU024M (Ấp 1 Long Thạnh),CSHT_LAN_00347
UL_TTU025M_LAN,10.81.4.215,5,Thủ Thừa,TTU025M (Ấp Đạo xã Nhị Thành),CSHT_LAN_00367
2G_TTU025M_LAN,10.81.4.215,11,Thủ Thừa,TTU025M (Ấp Đạo xã Nhị Thành),CSHT_LAN_00367
UL_TTU026M_LAN,10.81.4.113,18,Thủ Thừa,TTU026M (Ấp 2 Mỹ Thạnh),CSHT_LAN_00324
3G_TTU027M_LAN,10.81.4.113,13,Thủ Thừa,"TTU027M (Ấp Bà Phổ, Bình Thành)",CSHT_LAN_00342
4G-TTU027M-LAN,10.81.4.113,2,Thủ Thừa,"TTU027M (Ấp Bà Phổ, Bình Thành)",CSHT_LAN_00342
2G_TTU027M_LAN,10.81.4.113,8,Thủ Thừa,"TTU027M (Ấp Bà Phổ, Bình Thành)",CSHT_LAN_00342
UL_TTU028M_LAN,10.81.5.19,10,Tân An 2,TTU028M (Ấp 4 Mỹ An),CSHT_LAN_00339
3G_TTU030M_LAN,10.81.5.114,21,Thủ Thừa,TTU030M (Ấp 2 Long Thành),CSHT_LAN_00378
4G-TTU030M-LAN,10.81.5.114,6,Thủ Thừa,TTU030M (Ấp 2 Long Thành),CSHT_LAN_00378
2G_TTU030M_LAN,E1,E1,Thủ Thừa,TTU030M (Ấp 2 Long Thành),CSHT_LAN_00378
UL_TTU032M_LAN,10.81.4.110,11,Thủ Thừa,TTU032M (Ấp Bình Lương 1),CSHT_LAN_00417
UL_TTU034M_LAN,10.81.4.117,19,Thủ Thừa,TTU034 ( Ấp 4 Xã Nhị Thành),CSHT_LAN_00598
UL_TTU035M_LAN,10.81.4.19,7,Tân An 2,TTU035M-LAN (Ấp 1 Mỹ Phú),CSHT_LAN_00596
UL_TTU036M_LAN,10.81.4.19,24,Tân An 2,"TTU036M ( Ấp 1, Mỹ Phú)",CSHT_LAN_00593
UL_TTU037M_LAN,10.81.4.112,6,Thủ Thừa,"TTU037M (KP Cầu Xây, TT Thủ Thừa)",CSHT_LAN_00640
UL_TTU038M_LAN,10.81.5.16,13,Tân An 2,"TTU038M (Ấp 2, xã Mỹ An)",CSHT_LAN_00656
UL_TTU039M_LAN,10.81.4.112,15,Thủ Thừa,"TTU039M (Ấp An Hòa 2, xã Bình An)",CSHT_LAN_00681
UL_TTU040M_LAN,10.81.5.101,3,Thủ Thừa,"TTU040M (Ấp Vườn Cò , xã Mỹ Lạc)",CSHT_LAN_00675
UL_TTU041M_LAN,10.81.4.215,8,Thủ Thừa,TTU041M,CSHT_LAN_00818
UL_TTU042M_LAN,10.81.5.112,9,Thủ Thừa,TTU042M,CSHT_LAN_00820
UL_TTU043M_LAN,10.81.5.87,6,Thủ Thừa,TTU043M (Ấp 1 xã Long Thuận),CSHT_LAN_00821
UL_TTU044M_LAN,10.81.5.16,24,Tân An 2,TTU044M,CSHT_LAN_00857
UL_TTU046M_LAN,10.81.4.115,9,Thủ Thừa,TTU046M,CSHT_LAN_00931
UL_TTU047M_LAN,10.81.4.117,17,Thủ Thừa,TTU047M,CSHT_LAN_00912
UL_TTU048M_LAN,10.81.4.117,18,Thủ Thừa,TTU048M,CSHT_LAN_00894
UL_TTU049M_LAN,10.81.5.88,6,Thủ Thừa,TTU049M,CSHT_LAN_00934
UL_TTU051M_LAN,10.81.4.117,23,Thủ Thừa,TTU051M,CSHT_LAN_00893
UL_TTU052M_LAN,10.81.5.114,5,Thủ Thừa,TTU052M,CSHT_LAN_00899
UL_TAN086F_LAN,10.81.5.30,21,Tân An,UL_TAN086M_LAN,CSHT_LAN_00527
UL_VHU016M_LAN,10.81.4.189,6,Vĩnh Hưng,VHU016M (Ấp Rọc Đô Vĩnh Trị),CSHT_LAN_00352
2G_VHU016M_LAN,E1,E1,Vĩnh Hưng,VHU016M (Ấp Rọc Đô Vĩnh Trị),CSHT_LAN_00352
UL_VHU017M_LAN,10.81.5.203,11,Vĩnh Hưng,VHU017M (Ấp Rạch Đình Tuyên Bình),CSHT_LAN_00358
2G_VHU017M_LAN,E1,E1,Vĩnh Hưng,VHU017M (Ấp Rạch Đình Tuyên Bình),CSHT_LAN_00358
UL_VHU703B_LAN,10.81.4.136,6,Vĩnh Hưng,VHU018E,CSHT_LAN_00988
UL_VHU018M_LAN,10.81.4.136,11,Vĩnh Hưng,VHU018M (Ấp Cả Cốc Xã Tuyên Bình Tây),CSHT_LAN_00327
2G_VHU018M_LAN,E1,E1,Vĩnh Hưng,VHU018M (Ấp Cả Cốc Xã Tuyên Bình Tây),CSHT_LAN_00327
3G_VHU019M_LAN,10.81.5.44,5,Vĩnh Hưng,"VHU019M (Ấp Cà Na, xã Vĩnh Thuận)",CSHT_LAN_00377
4G-VHU019M-LAN,10.81.5.44,6,Vĩnh Hưng,"VHU019M (Ấp Cà Na, xã Vĩnh Thuận)",CSHT_LAN_00377
2G_VHU019M_LAN,E1,E1,Vĩnh Hưng,"VHU019M (Ấp Cà Na, xã Vĩnh Thuận)",CSHT_LAN_00377
UL_VHU021M_LAN,10.81.5.44,7,Vĩnh Hưng,VHU021M,CSHT_LAN_00848
UL_VHU022M_LAN,10.81.4.186,9,Vĩnh Hưng,VHU022M,CSHT_LAN_00849
UL_VHU023M_LAN,10.81.5.195,14,Vĩnh Hưng,VHU023M,CSHT_LAN_00846
UL_VHU704B_LAN,10.81.4.186,4,Vĩnh Hưng,VHU024E,CSHT_LAN_00989
UL_VHU024M_LAN,10.81.4.186,7,Vĩnh Hưng,VHU024M,CSHT_LAN_00847
UL_VHU025M_LAN,10.81.5.44,4,Vĩnh Hưng,"VHU025M (Ấp Chiến Thắng, Thị trấn Vĩnh Hưng)",CSHT_LAN_00850
GL_BLU014E_LAN,10.81.4.85,21,Bến Lức,Trạm BTS KCN-Chingluh,CSHT_LAN_00268
GL_BLU028E_LAN,10.81.5.61,2,Bến Lức,Trạm BTS Xóm Cống,CSHT_LAN_00187
GL_DHO021E_LAN,10.81.4.53,16,Đức Hòa,KCN Tân Đức,CSHT_LAN_00080
GL_DHO034E_LAN,10.81.4.58,17,Đức Hòa,DHO034B,CSHT_LAN_00172
